AT26748900,jeep,patriot,limited,Jeep Patriot 2.4L Limited,149500,Used Car,2013,146000,Manual,Petrol,AutoTrader,Link
AT26838123,jeep,patriot,limited,Jeep Patriot 2.4L Limited,139950,Used Car,2013,175343,Manual,Petrol,AutoTrader,Link
AT26847478,jeep,patriot,limited,Jeep Patriot 2.4L Limited Auto,159950,Used Car,2014,131000,Automatic,Petrol,AutoTrader,Link
AT26668899,jeep,patriot,limited,Jeep Patriot 2.4L Limited,149950,Used Car,2011,160276,Manual,Petrol,AutoTrader,Link
AT26748900,jeep,patriot,limited,Jeep Patriot 2.4L Limited,149500,Used Car,2013,146000,Manual,Petrol,AutoTrader,Link
AT26838123,jeep,patriot,limited,Jeep Patriot 2.4L Limited,139950,Used Car,2013,175343,Manual,Petrol,AutoTrader,Link
AT26597184,jeep,patriot,limited,Jeep Patriot 2.4L Limited,109995,Used Car,2009,154000,Manual,Petrol,AutoTrader,Link
AT26907116,jeep,patriot,limited,Jeep Patriot 2.4L Limited,101900,Used Car,2013,161513,Manual,Petrol,AutoTrader,Link
AT26903681,jeep,patriot,limited,Jeep Patriot 2.4L Limited Auto,84900,Used Car,2013,95000,Automatic,Petrol,AutoTrader,Link
AT26687771,jeep,patriot,limited,Jeep Patriot 2.4L Limited Auto,59900,Used Car,2011,187700,Automatic,Petrol,AutoTrader,Link
